,ABSPATH,LABEL,N_KEYWORDS,KEYWORDS
0,file1,GEOMECH,2,"['fist', 'effective stress']"
1,file2,GEOMECH,14,"['ed', 'rock strength', 'stress', 'borehole stability', 'stabor', 'borehole stability', 'borehole stability', 'fg', 'stress', 'borehole stability', 'fg', 'stress', 'fg', 'fg']"
2,file3,CHECK MANUALLY,0,
3,file4,LOT,1,['fit']
4,file5,GEOMECH,21,"['stress', 'failure stress', 'yield', 'stress', 'compaction', 'elastic', 'inelastic', 'deformation', 'stress', 'compaction', 'stress', 'effective horizontal stress', 'effective vertical stress', 'stress', 'biot', 'effective stress', 'stress', 'effective stress', 'stress', 'compaction', 'compaction']"
5,file6,GEOMECH,21,"['stress', 'failure stress', 'yield', 'stress', 'compaction', 'elastic', 'inelastic', 'deformation', 'stress', 'compaction', 'stress', 'effective horizontal stress', 'effective vertical stress', 'stress', 'biot', 'effective stress', 'stress', 'effective stress', 'stress', 'compaction', 'compaction']"
6,file7,GEOMECH,11,"['stress', 'stress', 'stress', 'stress', 'effective horizontal stress', 'effective vertical stress', 'elastic', 'stress', 'elastic', 'geomec', 'compaction']"
7,file8,GEOMECH,14,"['stress', 'differential stress', 'stress', 'elastic', 'differential stress', 'stress', 'stress', 'stress', 'stress', 'stress', 'elastic', 'stress', 'stress', 'stress']"
8,file9,DCM,9,"['sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa']"
9,file10,DCM,9,"['sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa']"
10,file11,DCM,9,"['sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa']"
11,file12,DCM,9,"['sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa']"
12,file13,DCM,9,"['sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa']"
13,file14,DCM,9,"['sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa', 'sa']"
14,file15,LOT,5,"['lot', 'xlot', 'lot', 'xlot', 'lot']"
15,file16,GEOMECH,1,['cm']
16,file17,GEOMECH,3,"['stabor', 'stabor', 'stabor']"
17,file18,GEOMECH,5,"['geomec', 'geomec', 'geomec', 'geomec', 'geomec']"
18,file19,GEOMECH,12,"['geomec', 'geomec', 'geomec', 'geomec', 'geomec', 'geomec', 'geomec', 'geomec', 'geomec', 'geomec', 'geomec', 'geomec']"
19,file20,GEOMECH,1,['geomec']
20,file21,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
21,file22,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
22,file23,GEOMECH,2,"['fracture gradient', 'fracture propagation']"
23,file24,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
24,file25,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
25,file26,CHECK MANUALLY,0,
26,file27,CHECK MANUALLY,0,
27,file28,CHECK MANUALLY,0,
28,file29,CHECK MANUALLY,0,
29,file30,CHECK MANUALLY,0,
30,file31,CHECK MANUALLY,0,
31,file32,CHECK MANUALLY,0,
32,file33,CHECK MANUALLY,0,
33,file34,CHECK MANUALLY,0,
34,file35,CHECK MANUALLY,0,
35,file36,CHECK MANUALLY,0,
36,file37,CHECK MANUALLY,0,
37,file38,CHECK MANUALLY,0,
38,file39,CHECK MANUALLY,0,
39,file40,LOT,1,['leak off']
40,file41,CHECK MANUALLY,0,
41,file42,CHECK MANUALLY,0,
42,file43,CHECK MANUALLY,0,
43,file44,CHECK MANUALLY,0,
44,file45,CHECK MANUALLY,0,
45,file46,CHECK MANUALLY,0,
46,file47,LOT,1,['leak off']
47,file48,CHECK MANUALLY,0,
48,file49,CHECK MANUALLY,0,
49,file50,CHECK MANUALLY,0,
50,file51,CHECK MANUALLY,0,
51,file52,CHECK MANUALLY,0,
52,file53,CHECK MANUALLY,0,
53,file54,CHECK MANUALLY,0,
54,file55,CHECK MANUALLY,0,
55,file56,CHECK MANUALLY,0,
56,file57,CHECK MANUALLY,0,
57,file58,CHECK MANUALLY,0,
58,file59,CHECK MANUALLY,0,
59,file60,CHECK MANUALLY,0,
60,file61,CHECK MANUALLY,0,
61,file62,CHECK MANUALLY,0,
62,file63,CHECK MANUALLY,0,
63,file64,CHECK MANUALLY,0,
64,file65,CHECK MANUALLY,0,
65,file66,CHECK MANUALLY,0,
66,file67,CHECK MANUALLY,0,
67,file68,CHECK MANUALLY,0,
68,file69,CHECK MANUALLY,0,
69,file70,CHECK MANUALLY,0,
70,file71,CHECK MANUALLY,0,
71,file72,GEOMECH,2,"['cohesion', 'cohesion']"
72,file73,CHECK MANUALLY,0,
73,file74,CHECK MANUALLY,0,
74,file75,CHECK MANUALLY,0,
75,file76,CHECK MANUALLY,0,
76,file77,WELLS,1,['cal']
77,file78,CHECK MANUALLY,0,
78,file79,CHECK MANUALLY,0,
79,file80,CHECK MANUALLY,0,
80,file81,CHECK MANUALLY,0,
81,file82,CHECK MANUALLY,0,
82,file83,CHECK MANUALLY,0,
83,file84,CHECK MANUALLY,0,
84,file85,CHECK MANUALLY,0,
85,file86,CHECK MANUALLY,0,
86,file87,CHECK MANUALLY,0,
87,file88,CHECK MANUALLY,0,
88,file89,CHECK MANUALLY,0,
89,file90,CHECK MANUALLY,0,
90,file91,CHECK MANUALLY,0,
91,file92,CHECK MANUALLY,0,
92,file93,CHECK MANUALLY,0,
93,file94,CHECK MANUALLY,0,
94,file95,CHECK MANUALLY,0,
95,file96,CHECK MANUALLY,0,
96,file97,CHECK MANUALLY,0,
97,file98,CHECK MANUALLY,0,
98,file99,CHECK MANUALLY,0,
99,file100,CHECK MANUALLY,0,
100,file101,CHECK MANUALLY,0,
101,file102,CHECK MANUALLY,0,
102,file103,CHECK MANUALLY,0,
103,file104,CHECK MANUALLY,0,
104,file105,CHECK MANUALLY,0,
